"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"ratings","Elevation of Privilege","Created by Rules Engine","An attacker can exploit misconfigured permissions in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1098 - Account Manipulation||ATT&CK Enterprise - T1087 - Account Discovery","Elevation of Privilege"
"ratings","Elevation of Privilege","Created by Rules Engine","An attacker can exploit missing authentication in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Elevation of Privilege"
"ratings","Information Disclosure","Created by Rules Engine","An attacker can perform data exfiltration through insecure data transit in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1041 - Exfiltration Over C2 Channel||ATT&CK Enterprise - TA0010 - Exfiltration||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1020 - Automated Exfiltration","Information Disclosure"
"productpage","Information Disclosure","Created by Rules Engine","Compromise of sensitive data due to insecure certificate properties and key management","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"productpage","Information Disclosure","Created by Rules Engine","Embedded credentials exposure in code and configuration files","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"reviews","Elevation of Privilege","Created by Rules Engine","Inconsistent review workflows","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1595 - Active Scanning","Elevation of Privilege"
"details","Information Disclosure","Created by Rules Engine","Insecure API integrations with third-party field service tools","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1555 - Credentials from Password Stores","Information Disclosure"
"details","Information Disclosure","Created by Rules Engine","Insecure data transmission between FSM cloud and mobile devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"details","Information Disclosure","Created by Rules Engine","Lack of monitoring for FSM activities and API usage","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1526 - Cloud Service Discovery","Information Disclosure"
"reviews","Elevation of Privilege","Created by Rules Engine","Poorly adapted review templates","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1210 - Exploitation of Remote Services","Elevation of Privilege"
"productpage","Information Disclosure","Created by Rules Engine","Unauthorized access to Azure resources via network interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"details","Information Disclosure","Created by Rules Engine","Unauthorized access to FSM applications and mobile services","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1110 - Brute Force","Information Disclosure"
"details","Information Disclosure","Created by Rules Engine","Unauthorized access to FSM customer data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Information Disclosure"
"reviews","Information Disclosure","Created by Rules Engine","Unauthorized access to Well-Architected reviews","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Information Disclosure"
"productpage","Repudiation","Created by Rules Engine","Undetected unauthorized activities due to lack of resource logs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1562.008 - Disable or Modify Cloud Logs","Repudiation"
"reviews","Tampering","Created by Rules Engine","Unmonitored review activity","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1063 - Security Software Discovery","Tampering"
"details","Tampering","Created by Rules Engine","Unpatched vulnerabilities in FSM cloud and mobile applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Tampering"
"reviews","Repudiation","Created by Rules Engine","Untracked review action plans","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - TA0042 - Resource Development","Repudiation"
