"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Router","Elevation of Privilege","Created by Rules Engine","Accessing functionality not properly constrained by ACLs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Elevation of Privilege"
"MQTT Broker","Denial of Service","Created by Rules Engine","An attacker can publish data to the MQTT broker to publish spam data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"MQTT Broker","Information Disclosure","Created by Rules Engine","An attacker can start to subscribe to all topics on an unprotected MQTT broker to gather sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1020 - Automated Exfiltration","Information Disclosure"
"MQTT Broker","Information Disclosure","Created by Rules Engine","An attacker monitors information transmitted between logical or physical nodes of a network","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Mobile UI","Spoofing","Created by Rules Engine","Attackers attempt to access sensitive information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1087 - Account Discovery||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1566 - Phishing","Spoofing"
"backend","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"backend","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"backend","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"backend","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"backend","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"backend","Information Disclosure","Created by Rules Engine","Attackers can exploit unsafe XML parsers","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1133 - External Remote Services","Information Disclosure"
"backend","Elevation of Privilege","Created by Rules Engine","Attackers can exploit vulnerable components","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"backend","Tampering","Created by Rules Engine","Attackers can inject malicious commands","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1059 - Command and Scripting Interpreter","Tampering"
"backend","Tampering","Created by Rules Engine","Attackers can inject scripts","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1059 - Command and Scripting Interpreter","Tampering"
"backend","Information Disclosure","Created by Rules Engine","Attackers can intercept or leak sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"backend","Tampering","Created by Rules Engine","Attackers can manipulate business workflows","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1105 - Ingress Tool Transfer","Tampering"
"backend","Tampering","Created by Rules Engine","Attackers can run malicious code via deserialization","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1210 - Exploitation of Remote Services","Tampering"
"Mobile UI","Elevation of Privilege","Created by Rules Engine","Attackers exploit vulnerable dependencies to execute malicious activities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0005 - Defense Evasion","Elevation of Privilege"
"Mobile UI","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized access to the app's functions or data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Elevation of Privilege"
"MQTT Broker","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized connection to the resources","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Elevation of Privilege"
"Router","Elevation of Privilege","Created by Rules Engine","Attackers try to take advantage of a wide attack surface","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1060 - Registry Run Keys / Startup Folder","Elevation of Privilege"
"Mobile Device Client","Information Disclosure","Created by Rules Engine","Data leakage via insecure backup or synchronization services","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Mobile - T1470 - Obtain Device Cloud Backups","Information Disclosure"
"Mobile Device Client","Information Disclosure","Created by Rules Engine","Device theft or loss leading to data compromise","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Mobile - T1662 - Data Destruction","Information Disclosure"
"Router","Elevation of Privilege","Created by Rules Engine","Dictionary-based or brute force password attack","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1110.002 - Password Cracking","Elevation of Privilege"
"Mobile Device Client","Tampering","Created by Rules Engine","Exploitation of unpatched mobile OS vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Mobile - T1455 - Exploit Baseband Vulnerability","Tampering"
