"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Jupyter Lab API Web Service","Tampering","Created by Rules Engine","Attackers compromise the system through inadequate input validation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - T1659 - Content Injection||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"LAN Network","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"Jupyter Lab API Web Service","Information Disclosure","Created by Rules Engine","Attackers expose sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0010 - Exfiltration||ATT&CK Enterprise - T1087 - Account Discovery||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1565 - Data Manipulation||ATT&CK Enterprise - T1213 - Data from Information Repositories||ATT&CK Mobile - T1409 - Stored Application Data","Information Disclosure"
"PC","Elevation of Privilege","Created by Rules Engine","Attackers gain access to the system through an unprotected administration interface","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Elevation of Privilege"
"Jupyter Lab API Web Service","Spoofing","Created by Rules Engine","Attackers gain control of users' accounts in the system by abusing poorly implemented API authentication","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1003 - OS Credential Dumping||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1110 - Brute Force","Spoofing"
"Jupyter Lab API Web Service","Repudiation","Created by Rules Engine","Attackers go undetected by exploiting insufficient logging and monitoring","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0005 - Defense Evasion","Repudiation"
"JetRacer","Spoofing","Created by Rules Engine","Attackers hijack drone control signals","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Spoofing"
"LAN Network","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"LAN Network","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"JetRacer","Information Disclosure","Created by Rules Engine","Attackers intercept video and data transmissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Information Disclosure"
