"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Pandas","Spoofing","Created by Rules Engine","Attackers bypass access controls to gain unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1134 - Access Token Manipulation||ATT&CK Enterprise - T1136.001 - Local Account||ATT&CK Enterprise - T1136.002 - Domain Account||ATT&CK Enterprise - T1548.002 - Bypass User Account Control||ATT&CK Enterprise - T1548.003 - Sudo and Sudo Caching","Elevation of Privilege||Spoofing"
"LCD Display","Information Disclosure","Created by Rules Engine","Attackers can intercept data transmitted between the LCD display and connected systems without encryption","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Transmitter","Information Disclosure","Created by Rules Engine","Attackers can intercept transmitted data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Information Disclosure"
"Jupyter Lab Server","Elevation of Privilege","Created by Rules Engine","Attackers carry out cross-service attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - TA0008 - Lateral Movement||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1102 - Web Service||ATT&CK Enterprise - TA0011 - Command and Control||ATT&CK Enterprise - T1505 - Server Software Component","Elevation of Privilege||Lateral Movement"
"Jupyter Lab Server","Denial of Service","Created by Rules Engine","Attackers cause a service disruption, e.g., DoS","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - TA0040 - Impact||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service||Tampering"
"JetRacer API","Tampering","Created by Rules Engine","Attackers compromise the system through inadequate input validation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - T1659 - Content Injection||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"Jupyter lab API","Tampering","Created by Rules Engine","Attackers compromise the system through inadequate input validation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - T1659 - Content Injection||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"Browser","Spoofing","Created by Rules Engine","Attackers conduct phishing attacks through deceptive websites","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1566 - Phishing","Spoofing"
"DonkeyCar Framework","Tampering","Created by Rules Engine","Attackers craft and upload malicious files or inject malicious inputs, e.g., code/command execution","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1608 - Stage Capabilities||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1204 - User Execution||ATT&CK Enterprise - T1059 - Command and Scripting Interpreter","Elevation of Privilege||Tampering"
"DonkeyCar Framework","Elevation of Privilege","Created by Rules Engine","Attackers craft input data to execute arbitrary SQL queries","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1565 - Data Manipulation","Elevation of Privilege||Information Disclosure"
"DonkeyCar Framework","Spoofing","Created by Rules Engine","Attackers craft links to execute malicious actions (CSRF)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1204 - User Execution","Spoofing||Tampering"
"Browser","Tampering","Created by Rules Engine","Attackers distribute malware through compromised browser extensions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1204 - User Execution","Tampering"
"Browser","Elevation of Privilege","Created by Rules Engine","Attackers exploit browser vulnerabilities to execute malicious code","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1203 - Exploitation for Client Execution","Elevation of Privilege"
"Pandas","Tampering","Created by Rules Engine","Attackers exploit misconfigurations and vulnerable Third-Party Dependencies","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1133 - External Remote Services","Information Disclosure||Tampering"
"Pandas","Information Disclosure","Created by Rules Engine","Attackers exploit poorly protected data for alteration or disclosure","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1565.001 - Stored Data Manipulation||ATT&CK Enterprise - T1565.002 - Transmitted Data Manipulation","Information Disclosure||Tampering"
