"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"SSH Server","Information Disclosure","Created by Rules Engine","Attackers abuse SSH tunneling to bypass network security controls","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1090 - Proxy","Information Disclosure"
"HTTP DEAMON","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"IoTronic UI","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"WSTUN SERVER","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"Web Application - Server side","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"WSTUN","Information Disclosure","Created by Rules Engine","Attackers can abuse server-side requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can access sensitive data through outdated VM snapshots","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Information Disclosure"
"HTTP DEAMON","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"IoTronic UI","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"WSTUN SERVER","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"Web Application - Server side","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"WSTUN","Elevation of Privilege","Created by Rules Engine","Attackers can bypass permissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1196 - Control Panel Items","Elevation of Privilege"
"HTTP DEAMON","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"IoTronic UI","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"WSTUN SERVER","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"Web Application - Server side","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"WSTUN","Spoofing","Created by Rules Engine","Attackers can compromise sessions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1075 - Pass the Hash","Spoofing"
"HTTP DEAMON","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"IoTronic UI","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"WSTUN SERVER","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"Web Application - Server side","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"WSTUN","Repudiation","Created by Rules Engine","Attackers can evade detection without proper logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"HTTP DEAMON","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"IoTronic UI","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"WSTUN SERVER","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"Web Application - Server side","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"WSTUN","Information Disclosure","Created by Rules Engine","Attackers can exploit insecure configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1518 - Software Discovery","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can exploit insufficient isolation between VMs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol","Information Disclosure"
"Virtual Machine","Elevation of Privilege","Created by Rules Engine","Attackers can exploit unpatched VM software vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"HTTP DEAMON","Information Disclosure","Created by Rules Engine","Attackers can exploit unsafe XML parsers","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1133 - External Remote Services","Information Disclosure"
