"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"VMware Workstation","Elevation of Privilege","Created by Rules Engine","Attackers abusing misconfigured resource pool access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1526 - Cloud Service Discovery","Elevation of Privilege"
"VMware Workstation","Information Disclosure","Created by Rules Engine","Attackers accessing sensitive data via unencrypted virtual drives","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1022 - Data Encrypted","Information Disclosure"
"VMware Workstation","Elevation of Privilege","Created by Rules Engine","Attackers bypassing VM startup security","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1052 - Exfiltration Over Physical Medium","Elevation of Privilege"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can access sensitive data through outdated VM snapshots","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can access sensitive data through outdated VM snapshots","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can access sensitive data through outdated VM snapshots","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Information Disclosure"
"Web UI","Spoofing","Created by Rules Engine","Attackers can deceive users into clicking on hidden elements","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1566.002 - Spearphishing Link||ATT&CK Enterprise - T1562 - Impair Defenses||ATT&CK Enterprise - T1566 - Phishing||ATT&CK Enterprise - T1564.003 - Hidden Window||ATT&CK Enterprise - T1564 - Hide Artifacts||ATT&CK Enterprise - T1204 - User Execution","Spoofing"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can exploit insufficient isolation between VMs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can exploit insufficient isolation between VMs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol","Information Disclosure"
"Virtual Machine","Information Disclosure","Created by Rules Engine","Attackers can exploit insufficient isolation between VMs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol","Information Disclosure"
"Virtual Machine","Elevation of Privilege","Created by Rules Engine","Attackers can exploit unpatched VM software vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"Virtual Machine","Elevation of Privilege","Created by Rules Engine","Attackers can exploit unpatched VM software vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"Virtual Machine","Elevation of Privilege","Created by Rules Engine","Attackers can exploit unpatched VM software vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"Web UI","Tampering","Created by Rules Engine","Attackers can exploit vulnerabilities in third-party dependencies leading to security breaches","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1195 - Supply Chain Compromise||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1199 - Trusted Relationship","Tampering"
