index,index_type,test_type,factors_or_combination,p_value,significant
graph_edit_distance,continuous,ANOVA_combination,case + RAG,2.129622488962935e-77,True
graph_edit_distance,continuous,ANOVA_combination,case,1.023043737291023e-70,True
graph_edit_distance,continuous,ANOVA_main,C(case),1.0230437372910905e-70,True
graph_edit_distance,continuous,ANOVA_combination,case + mode,1.5473734777098747e-70,True
graph_edit_distance,continuous,ANOVA_combination,case + version,2.9630517641621566e-69,True
graph_edit_distance,continuous,ANOVA_combination,mode,9.345491318115037e-06,True
graph_edit_distance,continuous,ANOVA_main,C(mode),9.345491318115667e-06,True
graph_edit_distance,continuous,ANOVA_combination,mode + RAG,4.533978336129904e-05,True
graph_edit_distance,continuous,ANOVA_combination,version + mode,0.0001765052123234694,True
graph_edit_distance,continuous,ANOVA_combination,version,0.854283608590474,False
graph_edit_distance,continuous,ANOVA_main,C(version),0.8542836085905153,False
graph_edit_distance,continuous,ANOVA_combination,RAG,0.8581698911149523,False
graph_edit_distance,continuous,ANOVA_main,RAG,0.8581698911149946,False
graph_edit_distance,continuous,ANOVA_combination,version + RAG,0.9506642462250563,False
validity_edit_distance,continuous,ANOVA_combination,case + mode,7.050677111384452e-14,True
validity_edit_distance,continuous,ANOVA_combination,case + RAG,8.135086437020073e-12,True
validity_edit_distance,continuous,ANOVA_combination,case,1.9753865810013762e-10,True
validity_edit_distance,continuous,ANOVA_main,C(case),1.9753865810015504e-10,True
validity_edit_distance,continuous,ANOVA_combination,case + version,1.435632014833977e-09,True
validity_edit_distance,continuous,ANOVA_combination,mode + RAG,4.320819378369009e-08,True
validity_edit_distance,continuous,ANOVA_combination,mode,6.738704754001558e-08,True
validity_edit_distance,continuous,ANOVA_main,C(mode),6.738704754001715e-08,True
validity_edit_distance,continuous,ANOVA_combination,version + mode,1.1956870519310613e-06,True
validity_edit_distance,continuous,ANOVA_main,RAG,0.004723163359278343,True
validity_edit_distance,continuous,ANOVA_combination,RAG,0.004723163359278343,True
validity_edit_distance,continuous,ANOVA_combination,version + RAG,0.024567921505412652,True
validity_edit_distance,continuous,ANOVA_combination,version,0.4693894868483265,False
validity_edit_distance,continuous,ANOVA_main,C(version),0.46938948684834947,False
