case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,2,88.5,False,54.80978260869565,0.009447446285019768,True,higher,worse,False,False
BookInfo,v1,summarized,0,1,104.0,False,54.80978260869565,,False,not_significant,,True,False
BookInfo,v1,summarized,1,2,84.0,False,54.80978260869565,,False,not_significant,,False,True
BookInfo,v2,notsummarized,0,1,85.0,False,54.80978260869565,,False,not_significant,,True,False
BookInfo,v2,notsummarized,1,2,100.0,False,54.80978260869565,0.07015244664028537,True,higher,worse,False,False
BookInfo,v2,summarized,0,1,94.0,False,54.80978260869565,,False,not_significant,,True,False
BookInfo,v3,notsummarized,0,2,81.5,False,54.80978260869565,0.17439400363400184,True,higher,worse,False,False
BookInfo,v3,notsummarized,1,1,101.0,False,54.80978260869565,,False,not_significant,,True,False
BookInfo,v3,summarized,0,3,84.0,False,54.80978260869565,0.09400821015157913,True,higher,worse,False,False
BookInfo,v3,summarized,1,3,95.0,False,54.80978260869565,0.04198157369167585,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,2,74.5,False,54.80978260869565,0.01616241652967666,True,higher,worse,False,False
JetRacer,v1,notsummarized,1,5,75.6,False,54.80978260869565,0.024645608416930583,True,higher,worse,False,False
JetRacer,v1,summarized,0,1,74.0,False,54.80978260869565,,False,not_significant,,True,False
JetRacer,v1,summarized,1,1,94.0,False,54.80978260869565,,False,not_significant,,True,False
JetRacer,v2,notsummarized,0,1,78.0,False,54.80978260869565,,False,not_significant,,True,False
JetRacer,v2,notsummarized,1,4,89.0,False,54.80978260869565,0.001990277091038936,True,higher,worse,False,False
JetRacer,v2,summarized,0,4,79.5,False,54.80978260869565,0.0004880104359198257,True,higher,worse,False,False
JetRacer,v2,summarized,1,3,79.33333333333333,False,54.80978260869565,0.11371214457700263,True,higher,worse,False,False
JetRacer,v3,notsummarized,0,6,76.5,False,54.80978260869565,3.707314420103606e-06,True,higher,worse,False,False
JetRacer,v3,notsummarized,1,6,79.66666666666667,False,54.80978260869565,0.00138595620633447,True,higher,worse,False,False
JetRacer,v3,summarized,0,6,80.0,False,54.80978260869565,0.0002468508611057788,True,higher,worse,False,False
JetRacer,v3,summarized,1,4,84.75,False,54.80978260869565,0.02759659290915478,True,higher,worse,False,False
Open Energy Monitor,v1,notsummarized,1,2,38.0,False,54.80978260869565,0.14872204921191734,True,lower,better,False,False
Open Energy Monitor,v1,summarized,0,5,55.2,False,54.80978260869565,0.8815384235803563,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,1,4,61.75,False,54.80978260869565,0.7369178472614382,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,0,3,53.333333333333336,False,54.80978260869565,0.7947305201273377,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,1,6,43.666666666666664,False,54.80978260869565,0.04746397543867603,True,lower,better,False,False
Open Energy Monitor,v2,summarized,0,4,56.5,False,54.80978260869565,0.17568233493653265,True,higher,worse,False,False
Open Energy Monitor,v2,summarized,1,3,51.0,False,54.80978260869565,0.13011203011011668,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,0,6,52.833333333333336,False,54.80978260869565,0.4814722662060812,False,not_significant,,False,False
Open Energy Monitor,v3,notsummarized,1,5,44.6,False,54.80978260869565,0.0013726051416191034,True,lower,better,False,False
Open Energy Monitor,v3,summarized,0,8,58.625,False,54.80978260869565,0.1643131885280633,True,higher,worse,False,False
Open Energy Monitor,v3,summarized,1,8,47.875,False,54.80978260869565,0.021032804621258446,True,lower,better,False,False
Stack4Things,v1,summarized,1,1,137.0,False,54.80978260869565,,False,not_significant,,True,False
Stack4Things,v2,notsummarized,1,1,145.0,False,54.80978260869565,,False,not_significant,,True,False
Stack4Things,v3,notsummarized,1,1,142.0,False,54.80978260869565,,False,not_significant,,True,False
WordPress,v1,notsummarized,0,3,17.333333333333332,False,54.80978260869565,0.000553322185433512,True,lower,better,False,False
WordPress,v1,summarized,0,5,41.0,False,54.80978260869565,0.02728402428468824,True,lower,better,False,False
WordPress,v2,notsummarized,0,5,19.8,False,54.80978260869565,1.0646753630653173e-05,True,lower,better,False,False
WordPress,v2,summarized,0,6,33.833333333333336,False,54.80978260869565,0.0033550489326543047,True,lower,better,False,False
WordPress,v3,notsummarized,0,7,24.285714285714285,False,54.80978260869565,1.4757793947055794e-05,True,lower,better,False,False
WordPress,v3,summarized,0,9,40.55555555555556,False,54.80978260869565,0.00012305482509818535,True,lower,better,False,False
eWeLink,v1,notsummarized,0,5,19.2,False,54.80978260869565,1.850430351152204e-05,True,lower,better,False,False
eWeLink,v1,summarized,0,2,18.5,False,54.80978260869565,0.07849827816701886,True,lower,better,False,False
eWeLink,v2,notsummarized,0,3,24.0,False,54.80978260869565,0.0031455102288494114,True,lower,better,False,False
eWeLink,v2,summarized,0,5,29.2,False,54.80978260869565,0.0026915037585927117,True,lower,better,False,False
eWeLink,v3,notsummarized,0,9,19.666666666666668,False,54.80978260869565,9.362537803639486e-11,True,lower,better,False,False
eWeLink,v3,summarized,0,7,25.285714285714285,False,54.80978260869565,1.124546149068798e-05,True,lower,better,False,False
