case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,2,17.0,False,18.940217391304348,0.6345296695195596,False,not_significant,,False,False
BookInfo,v1,summarized,0,1,48.0,False,18.940217391304348,,False,not_significant,,True,False
BookInfo,v1,summarized,1,2,27.0,False,18.940217391304348,0.6674557691910006,False,not_significant,,False,False
BookInfo,v2,notsummarized,0,1,8.0,False,18.940217391304348,,False,not_significant,,True,False
BookInfo,v2,notsummarized,1,2,37.0,False,18.940217391304348,0.26546733088612284,False,not_significant,,False,False
BookInfo,v2,summarized,0,1,36.0,False,18.940217391304348,,False,not_significant,,True,False
BookInfo,v3,notsummarized,0,2,18.0,False,18.940217391304348,0.5196095310945792,False,not_significant,,False,False
BookInfo,v3,notsummarized,1,1,44.0,False,18.940217391304348,,False,not_significant,,True,False
BookInfo,v3,summarized,0,3,25.666666666666668,False,18.940217391304348,0.607349656106298,False,not_significant,,False,False
BookInfo,v3,summarized,1,3,42.0,False,18.940217391304348,0.08158253351968457,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,2,11.5,False,18.940217391304348,0.04271810686199064,True,lower,better,False,False
JetRacer,v1,notsummarized,1,5,23.8,False,18.940217391304348,0.2556072003719176,False,not_significant,,False,False
JetRacer,v1,summarized,0,1,11.0,False,18.940217391304348,,False,not_significant,,True,False
JetRacer,v1,summarized,1,1,36.0,False,18.940217391304348,,False,not_significant,,True,False
JetRacer,v2,notsummarized,0,1,9.0,False,18.940217391304348,,False,not_significant,,True,False
JetRacer,v2,notsummarized,1,4,36.25,False,18.940217391304348,0.04105016543316994,True,higher,worse,False,False
JetRacer,v2,summarized,0,4,21.0,False,18.940217391304348,0.4564302481001345,False,not_significant,,False,False
JetRacer,v2,summarized,1,3,46.0,False,18.940217391304348,0.207623006980103,False,not_significant,,False,False
JetRacer,v3,notsummarized,0,6,11.166666666666666,False,18.940217391304348,0.0001873079870522344,True,lower,better,False,False
JetRacer,v3,notsummarized,1,6,30.0,False,18.940217391304348,0.04701715397359427,True,higher,worse,False,False
JetRacer,v3,summarized,0,6,21.166666666666668,False,18.940217391304348,0.6291383760448144,False,not_significant,,False,False
JetRacer,v3,summarized,1,4,30.5,False,18.940217391304348,0.27398307972023667,False,not_significant,,False,False
Open Energy Monitor,v1,notsummarized,1,2,12.0,False,18.940217391304348,0.33285592604634334,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,0,5,21.2,False,18.940217391304348,0.6327280039145949,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,1,4,12.5,False,18.940217391304348,0.03264333449679503,True,lower,better,False,False
Open Energy Monitor,v2,notsummarized,0,3,14.333333333333334,False,18.940217391304348,0.5929835895237883,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,1,6,9.0,False,18.940217391304348,0.000391629643796949,True,lower,better,False,False
Open Energy Monitor,v2,summarized,0,4,19.5,False,18.940217391304348,0.8593205163594879,False,not_significant,,False,False
Open Energy Monitor,v2,summarized,1,3,10.666666666666666,False,18.940217391304348,0.046814127311637026,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,0,6,12.333333333333334,False,18.940217391304348,0.026530463519235454,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,1,5,6.8,False,18.940217391304348,0.0014775789748168542,True,lower,better,False,False
Open Energy Monitor,v3,summarized,0,8,20.75,False,18.940217391304348,0.5432892794221424,False,not_significant,,False,False
Open Energy Monitor,v3,summarized,1,8,10.0,False,18.940217391304348,0.00015093836092685322,True,lower,better,False,False
Stack4Things,v1,summarized,1,1,25.0,False,18.940217391304348,,False,not_significant,,True,False
Stack4Things,v2,notsummarized,1,1,19.0,False,18.940217391304348,,False,not_significant,,True,False
Stack4Things,v3,notsummarized,1,1,16.0,False,18.940217391304348,,False,not_significant,,True,False
WordPress,v1,notsummarized,0,3,8.0,False,18.940217391304348,0.002773429845717538,True,lower,better,False,False
WordPress,v1,summarized,0,5,23.6,False,18.940217391304348,0.21942405587821007,False,not_significant,,False,False
WordPress,v2,notsummarized,0,5,8.2,False,18.940217391304348,0.003740988371873746,True,lower,better,False,False
WordPress,v2,summarized,0,6,21.166666666666668,False,18.940217391304348,0.3720774251960936,False,not_significant,,False,False
WordPress,v3,notsummarized,0,7,13.428571428571429,False,18.940217391304348,0.04406241019660678,True,lower,better,False,False
WordPress,v3,summarized,0,9,28.444444444444443,False,18.940217391304348,0.005615451773449306,True,higher,worse,False,False
eWeLink,v1,notsummarized,0,5,9.4,False,18.940217391304348,0.006495550780490361,True,lower,better,False,False
eWeLink,v1,summarized,0,2,9.5,False,18.940217391304348,0.28318208670271827,False,not_significant,,False,False
eWeLink,v2,notsummarized,0,3,9.0,False,18.940217391304348,0.009969551304233642,True,lower,better,False,False
eWeLink,v2,summarized,0,5,20.2,False,18.940217391304348,0.7785525113047608,False,not_significant,,False,False
eWeLink,v3,notsummarized,0,9,11.666666666666666,False,18.940217391304348,0.004229497823480084,True,lower,better,False,False
eWeLink,v3,summarized,0,7,18.142857142857142,False,18.940217391304348,0.678497513277867,False,not_significant,,False,False
