app_id,session_id,version,rag,summarized,true_positives,false_positives,false_negatives,precision,recall,f1_score,reference_total,session_total
BookInfo,d82ab5a1-933c-4e84-b5ca-e6fa86fb6b0d,v3,0,0,11,0,253,1.0,0.0417,0.08,264,11
BookInfo,957b4b72-94f5-469c-8cb0-24f54b3b34c5,v3,0,1,90,0,174,1.0,0.3409,0.5085,264,90
BookInfo,365124b4-f38e-4973-937d-a5b859503f7a,v3,1,0,51,16,213,0.7612,0.1932,0.3082,264,67
BookInfo,fc8df72f-d65f-4da3-be86-5f1c588fd059,v3,1,1,125,39,139,0.7622,0.4735,0.5841,264,164
BookInfo,52e19272-35af-4ac7-b27e-a490ef4f049f,v3,0,0,115,12,149,0.9055,0.4356,0.5882,264,127
BookInfo,a8a27143-de3e-41df-a34b-1688b177fa22,v3,1,1,41,19,223,0.6833,0.1553,0.2531,264,60
BookInfo,8823a215-07fb-46ac-abd2-061642b3b393,v3,0,1,24,12,240,0.6667,0.0909,0.16,264,36
BookInfo,19ae2c42-a887-4cdf-b63c-b092f2245578,v3,0,1,83,0,181,1.0,0.3144,0.4784,264,83
BookInfo,15b3871d-31b4-49a0-8899-fbb300e76bdd,v3,1,1,22,0,242,1.0,0.0833,0.1538,264,22
eWeLink,33beddb8-0cf5-4862-951c-de01eadbf3f4,v3,0,0,54,16,36,0.7714,0.6,0.675,90,70
eWeLink,e5c12cfa-a28d-4d5a-8c6d-22f707327e08,v3,0,1,90,23,0,0.7965,1.0,0.8867,90,113
eWeLink,e90fa3fe-b1c1-4cb9-afee-808b17a57b3d,v3,0,0,54,12,36,0.8182,0.6,0.6923,90,66
eWeLink,287b94c2-bc6b-4c1d-957c-852793177f4a,v3,0,1,68,11,22,0.8608,0.7556,0.8047,90,79
eWeLink,a43093ec-bca6-4990-b101-224f5d8a8a9d,v3,0,0,54,0,36,1.0,0.6,0.75,90,54
eWeLink,8dc9b98e-f809-40c6-922a-53015d190b9e,v3,0,1,55,0,35,1.0,0.6111,0.7586,90,55
eWeLink,62f140d7-2866-4b93-8424-057d55813b3d,v3,0,1,71,30,19,0.703,0.7889,0.7435,90,101
eWeLink,9da4d067-a6fa-43ad-b1a4-c013c89b2457,v3,0,0,66,16,24,0.8049,0.7333,0.7674,90,82
eWeLink,6dfcf99e-6aed-4847-956d-5c7f8d19643d,v3,0,0,54,76,36,0.4154,0.6,0.4909,90,130
eWeLink,5aa3046c-4782-4b50-abeb-e710ec15023a,v3,0,1,49,27,41,0.6447,0.5444,0.5904,90,76
eWeLink,49858700-b3b3-4d00-9dc1-8a2d224d639a,v3,0,0,66,39,24,0.6286,0.7333,0.6769,90,105
eWeLink,9060008e-c73e-4706-84bc-8a457c5422e3,v3,0,1,85,41,5,0.6746,0.9444,0.787,90,126
eWeLink,db9227cc-157d-468c-bbcc-63cf64c84e5a,v3,0,0,43,0,47,1.0,0.4778,0.6466,90,43
eWeLink,6c70cc2e-c61d-4c7d-bc1f-69c2ae1c4511,v3,0,0,66,11,24,0.8571,0.7333,0.7904,90,77
eWeLink,50aea5ee-1fe6-4dba-be67-e3a73bf81b62,v3,0,0,54,0,36,1.0,0.6,0.75,90,54
eWeLink,a38b3378-49cc-4000-b3a0-cb4fa2559e9b,v3,0,1,45,15,45,0.75,0.5,0.6,90,60
JetRacer,907f6926-0955-4ded-ae52-33ecc34312cc,v3,0,0,34,12,83,0.7391,0.2906,0.4172,117,46
JetRacer,07099998-4369-4433-822b-3598c12583c0,v3,0,1,34,24,83,0.5862,0.2906,0.3886,117,58
JetRacer,4c2d23c0-1c5a-4af8-8309-5b497537e15b,v3,1,0,34,12,83,0.7391,0.2906,0.4172,117,46
JetRacer,51d4fc6d-2755-4204-9f4e-6715e8abad08,v3,1,1,47,88,70,0.3481,0.4017,0.373,117,135
JetRacer,e618191c-924a-46e4-baf4-63882efce1ec,v3,0,0,25,12,92,0.6757,0.2137,0.3247,117,37
JetRacer,42bf9b6f-55ab-4492-8e9c-c34c0ab0cfdd,v3,0,1,34,93,83,0.2677,0.2906,0.2787,117,127
