case,version,mode,RAG,success,iterations,created at,updated at,TotalToken,inputToken,outputToken
Open Energy Monitor,v2,notsummarized,0,1,12,2026-01-13 13:09:47+00:00,2026-01-13 13:20:25+00:00,216809,23818,192991
Open Energy Monitor,v3,notsummarized,1,1,6,2026-01-13 13:00:09+00:00,2026-01-13 13:09:42+00:00,167005,15854,151151
WordPress,v1,summarized,0,0,30,2026-01-13 12:31:48+00:00,2026-01-13 13:00:04+00:00,607960,67367,540593
Open Energy Monitor,v1,summarized,1,1,21,2026-01-13 12:04:32+00:00,2026-01-13 12:31:43+00:00,575270,55915,519355
Open Energy Monitor,v3,notsummarized,0,1,13,2026-01-13 11:48:44+00:00,2026-01-13 11:58:43+00:00,224387,20828,203559
BookInfo,v1,summarized,1,0,30,2026-01-13 11:28:21+00:00,2026-01-13 13:06:32+00:00,1221260,139930,1081330
Open Energy Monitor,v1,notsummarized,1,1,14,2026-01-13 11:03:16+00:00,2026-01-13 11:28:16+00:00,316766,36779,279987
BookInfo,v2,notsummarized,1,0,30,2026-01-13 11:02:26+00:00,2026-01-13 11:48:39+00:00,866375,90284,776091
JetRacer,v3,notsummarized,1,1,5,2026-01-13 06:26:08+00:00,2026-01-13 06:37:22+00:00,187280,25313,161967
JetRacer,v3,notsummarized,1,0,30,2026-01-13 05:17:05+00:00,2026-01-13 06:14:54+00:00,1199950,179364,1020586
eWeLink,v1,summarized,0,0,30,2026-01-13 05:09:58+00:00,2026-01-13 06:49:09+00:00,1036198,125566,910632
Open Energy Monitor,v3,summarized,0,1,16,2026-01-13 04:54:35+00:00,2026-01-13 05:17:00+00:00,420903,44970,375933
eWeLink,v1,summarized,0,1,26,2026-01-13 04:25:33+00:00,2026-01-13 05:09:53+00:00,537308,53403,483905
Open Energy Monitor,v2,summarized,0,1,15,2026-01-13 03:34:01+00:00,2026-01-13 03:55:40+00:00,447194,52195,394999
WordPress,v2,notsummarized,0,1,5,2026-01-13 02:44:20+00:00,2026-01-13 02:47:37+00:00,63387,7074,56313
Open Energy Monitor,v3,notsummarized,0,1,8,2026-01-13 02:36:55+00:00,2026-01-13 02:44:15+00:00,177414,17599,159815
WordPress,v2,notsummarized,0,1,6,2026-01-13 02:32:39+00:00,2026-01-13 02:36:50+00:00,86485,9352,77133
WordPress,v3,notsummarized,0,0,30,2026-01-13 02:05:09+00:00,2026-01-13 02:32:33+00:00,676089,64058,612031
