case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,2,12.0,False,11.585253456221198,0.9473134471720104,False,not_significant,,False,False
BookInfo,v1,notsummarized,1,2,9.0,False,11.585253456221198,0.23496591433741065,False,not_significant,,False,False
BookInfo,v1,summarized,0,2,12.5,False,11.585253456221198,0.8372558438906323,False,not_significant,,False,False
BookInfo,v1,summarized,1,3,27.333333333333332,False,11.585253456221198,0.005773930136619241,True,higher,worse,False,False
BookInfo,v2,notsummarized,0,1,27.0,False,11.585253456221198,,False,not_significant,,True,False
BookInfo,v2,notsummarized,1,3,15.666666666666666,False,11.585253456221198,0.449061785543694,False,not_significant,,False,False
BookInfo,v2,summarized,0,1,12.0,False,11.585253456221198,,False,not_significant,,True,False
BookInfo,v3,notsummarized,0,2,5.0,False,11.585253456221198,,False,not_significant,,False,True
BookInfo,v3,notsummarized,1,1,17.0,False,11.585253456221198,,False,not_significant,,True,False
BookInfo,v3,summarized,0,3,13.333333333333334,False,11.585253456221198,0.7256925391682669,False,not_significant,,False,False
BookInfo,v3,summarized,1,3,18.0,False,11.585253456221198,0.1659234784144638,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,2,19.5,False,11.585253456221198,0.5577918221358253,False,not_significant,,False,False
JetRacer,v1,notsummarized,1,6,12.5,False,11.585253456221198,0.615178631309415,False,not_significant,,False,False
JetRacer,v1,summarized,0,2,26.5,False,11.585253456221198,0.02133396779024954,True,higher,worse,False,False
JetRacer,v1,summarized,1,4,11.5,False,11.585253456221198,0.9764579847246294,False,not_significant,,False,False
JetRacer,v2,notsummarized,0,1,5.0,False,11.585253456221198,,False,not_significant,,True,False
JetRacer,v2,notsummarized,1,4,11.0,False,11.585253456221198,0.8352489696422127,False,not_significant,,False,False
JetRacer,v2,summarized,0,4,11.0,False,11.585253456221198,0.8721241816224372,False,not_significant,,False,False
JetRacer,v2,summarized,1,4,12.75,False,11.585253456221198,0.8000337685178363,False,not_significant,,False,False
JetRacer,v3,notsummarized,0,6,7.333333333333333,False,11.585253456221198,0.03277040155732568,True,lower,better,False,False
JetRacer,v3,notsummarized,1,7,5.857142857142857,False,11.585253456221198,0.002208263550517848,True,lower,better,False,False
JetRacer,v3,summarized,0,7,10.714285714285714,False,11.585253456221198,0.7277833047019528,False,not_significant,,False,False
JetRacer,v3,summarized,1,4,5.5,False,11.585253456221198,0.014478959405834128,True,lower,better,False,False
Open Energy Monitor,v1,notsummarized,0,1,8.0,False,11.585253456221198,,False,not_significant,,True,False
Open Energy Monitor,v1,notsummarized,1,2,15.5,False,11.585253456221198,0.2329462466508354,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,0,5,13.6,False,11.585253456221198,0.5705745786073071,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,1,4,9.25,False,11.585253456221198,0.12580393243474894,True,lower,better,False,False
Open Energy Monitor,v2,notsummarized,0,3,13.666666666666666,False,11.585253456221198,0.5960857116584866,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,1,6,14.333333333333334,False,11.585253456221198,0.3329190156357623,False,not_significant,,False,False
Open Energy Monitor,v2,summarized,0,6,13.166666666666666,False,11.585253456221198,0.4765678459451533,False,not_significant,,False,False
Open Energy Monitor,v2,summarized,1,3,12.333333333333334,False,11.585253456221198,0.37843455106359436,False,not_significant,,False,False
Open Energy Monitor,v3,notsummarized,0,7,9.285714285714286,False,11.585253456221198,0.40055884716048584,False,not_significant,,False,False
Open Energy Monitor,v3,notsummarized,1,7,6.0,False,11.585253456221198,0.00024831499881319575,True,lower,better,False,False
Open Energy Monitor,v3,summarized,0,9,7.666666666666667,False,11.585253456221198,0.0632511198531629,True,lower,better,False,False
Open Energy Monitor,v3,summarized,1,8,13.25,False,11.585253456221198,0.4220934804831611,False,not_significant,,False,False
Stack4Things,v1,notsummarized,1,1,22.0,False,11.585253456221198,,False,not_significant,,True,False
Stack4Things,v1,summarized,1,1,6.0,False,11.585253456221198,,False,not_significant,,True,False
Stack4Things,v2,notsummarized,1,1,5.0,False,11.585253456221198,,False,not_significant,,True,False
Stack4Things,v3,notsummarized,1,1,21.0,False,11.585253456221198,,False,not_significant,,True,False
WordPress,v1,notsummarized,0,8,14.125,False,11.585253456221198,0.37410685265181604,False,not_significant,,False,False
WordPress,v1,summarized,0,6,7.0,False,11.585253456221198,0.07882698340272569,True,lower,better,False,False
WordPress,v2,notsummarized,0,8,10.0,False,11.585253456221198,0.2606991091218387,False,not_significant,,False,False
WordPress,v2,summarized,0,6,9.0,False,11.585253456221198,0.21982740966761305,False,not_significant,,False,False
WordPress,v3,notsummarized,0,7,12.0,False,11.585253456221198,0.8861893474012483,False,not_significant,,False,False
WordPress,v3,summarized,0,9,10.777777777777779,False,11.585253456221198,0.7809611345774963,False,not_significant,,False,False
eWeLink,v1,notsummarized,0,5,11.6,False,11.585253456221198,0.994763035052957,False,not_significant,,False,False
eWeLink,v1,summarized,0,3,13.333333333333334,False,11.585253456221198,0.8084438428915488,False,not_significant,,False,False
eWeLink,v2,notsummarized,0,5,12.4,False,11.585253456221198,0.8108589113422024,False,not_significant,,False,False
eWeLink,v2,summarized,0,5,15.8,False,11.585253456221198,0.23573517988177092,False,not_significant,,False,False
eWeLink,v3,notsummarized,0,9,12.88888888888889,False,11.585253456221198,0.645849147547136,False,not_significant,,False,False
eWeLink,v3,summarized,0,7,10.142857142857142,False,11.585253456221198,0.6446026137268337,False,not_significant,,False,False
