index,index_type,test_type,factors_or_combination,p_value,significant
iterations,continuous,ANOVA_main,C(version),0.002832670467401723,True
iterations,continuous,ANOVA_combination,version,0.0028326704674018644,True
iterations,continuous,ANOVA_combination,case + version,0.005749818453303518,True
iterations,continuous,ANOVA_combination,version + RAG,0.007395620581957042,True
iterations,continuous,ANOVA_combination,version + mode,0.007948916363666157,True
iterations,continuous,ANOVA_main,C(case),0.11940402051690621,True
iterations,continuous,ANOVA_combination,case,0.11940402051691021,True
iterations,continuous,ANOVA_combination,case + mode,0.17657611462645298,True
iterations,continuous,ANOVA_combination,case + RAG,0.18568904302961547,True
iterations,continuous,ANOVA_main,C(mode),0.7466864728700195,False
iterations,continuous,ANOVA_combination,mode,0.7466864728701579,False
iterations,continuous,ANOVA_main,RAG,0.8193031763157498,False
iterations,continuous,ANOVA_combination,RAG,0.8193031763160308,False
iterations,continuous,ANOVA_combination,mode + RAG,0.9302901289937691,False
