case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,12,0.16666666666666666,True,0.4442231075697211,0.0783091230336782,True,lower,worse,False,False
BookInfo,v1,notsummarized,1,8,0.0,True,0.4442231075697211,0.010619789424545967,True,lower,worse,False,False
BookInfo,v1,summarized,0,9,0.1111111111111111,True,0.4442231075697211,0.04971350321839954,True,lower,worse,False,False
BookInfo,v1,summarized,1,8,0.375,True,0.4442231075697211,1.0,False,not_significant,,False,False
BookInfo,v2,notsummarized,0,10,0.2,True,0.4442231075697211,0.20156842897462024,False,not_significant,,False,False
BookInfo,v2,notsummarized,1,11,0.18181818181818182,True,0.4442231075697211,0.126574763523423,False,not_significant,,False,False
BookInfo,v2,summarized,0,8,0.125,True,0.4442231075697211,0.08400681775909238,True,lower,worse,False,False
BookInfo,v2,summarized,1,8,0.0,True,0.4442231075697211,0.010619789424545967,True,lower,worse,False,False
BookInfo,v3,notsummarized,0,10,0.2,True,0.4442231075697211,0.20156842897462024,False,not_significant,,False,False
BookInfo,v3,notsummarized,1,8,0.125,True,0.4442231075697211,0.08400681775909238,True,lower,worse,False,False
BookInfo,v3,summarized,0,6,0.5,True,0.4442231075697211,1.0,False,not_significant,,False,False
BookInfo,v3,summarized,1,7,0.42857142857142855,True,0.4442231075697211,1.0,False,not_significant,,False,False
JetRacer,v1,notsummarized,0,10,0.2,True,0.4442231075697211,0.20156842897462024,False,not_significant,,False,False
JetRacer,v1,notsummarized,1,10,0.6,True,0.4442231075697211,0.35553559450333905,False,not_significant,,False,False
JetRacer,v1,summarized,0,9,0.1111111111111111,True,0.4442231075697211,0.04971350321839954,True,lower,worse,False,False
JetRacer,v1,summarized,1,5,0.6,True,0.4442231075697211,0.6612309313247481,False,not_significant,,False,False
JetRacer,v2,notsummarized,0,11,0.18181818181818182,True,0.4442231075697211,0.126574763523423,False,not_significant,,False,False
JetRacer,v2,notsummarized,1,11,0.36363636363636365,True,0.4442231075697211,0.7644676192965693,False,not_significant,,False,False
JetRacer,v2,summarized,0,12,0.4166666666666667,True,0.4442231075697211,1.0,False,not_significant,,False,False
JetRacer,v2,summarized,1,6,0.6666666666666666,True,0.4442231075697211,0.4166018727694121,False,not_significant,,False,False
JetRacer,v3,notsummarized,0,10,0.6,True,0.4442231075697211,0.35553559450333905,False,not_significant,,False,False
JetRacer,v3,notsummarized,1,10,0.7,True,0.4442231075697211,0.12072984553843197,False,not_significant,,False,False
JetRacer,v3,summarized,0,10,0.7,True,0.4442231075697211,0.12072984553843197,False,not_significant,,False,False
