case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,12,405380.4166666667,False,475476.4715789474,0.09986177328467762,True,lower,better,False,False
BookInfo,v1,notsummarized,1,9,647077.2222222222,False,475476.4715789474,0.09933428589677223,True,higher,worse,False,False
BookInfo,v1,summarized,0,9,638814.4444444445,False,475476.4715789474,0.05041969636346205,True,higher,worse,False,False
BookInfo,v1,summarized,1,8,1003293.875,False,475476.4715789474,4.3554287956924625e-05,True,higher,worse,False,False
BookInfo,v2,notsummarized,0,8,445942.75,False,475476.4715789474,0.03977590387172892,True,lower,better,False,False
BookInfo,v2,notsummarized,1,9,664495.6666666666,False,475476.4715789474,0.056112682769860076,True,higher,worse,False,False
BookInfo,v2,summarized,0,8,751940.0,False,475476.4715789474,0.006772773900520468,True,higher,worse,False,False
BookInfo,v2,summarized,1,8,1145571.5,False,475476.4715789474,3.08955875265196e-07,True,higher,worse,False,False
BookInfo,v3,notsummarized,0,10,470838.5,False,475476.4715789474,0.9444868496099924,False,not_significant,,False,False
BookInfo,v3,notsummarized,1,8,973137.0,False,475476.4715789474,5.4902104351940545e-05,True,higher,worse,False,False
BookInfo,v3,summarized,0,6,611611.0,False,475476.4715789474,0.3341129014426688,False,not_significant,,False,False
BookInfo,v3,summarized,1,7,1144470.0,False,475476.4715789474,0.00914435095717264,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,10,332136.4,False,475476.4715789474,0.0006078684626420362,True,lower,better,False,False
JetRacer,v1,notsummarized,1,10,523713.1,False,475476.4715789474,0.6171666093425536,False,not_significant,,False,False
JetRacer,v1,summarized,0,9,781065.1111111111,False,475476.4715789474,0.0016222007161226341,True,higher,worse,False,False
JetRacer,v1,summarized,1,5,580033.2,False,475476.4715789474,0.5089603913010201,False,not_significant,,False,False
JetRacer,v2,notsummarized,0,10,307043.4,False,475476.4715789474,0.0002738027874785198,True,lower,better,False,False
JetRacer,v2,notsummarized,1,10,597384.7,False,475476.4715789474,0.1860976282143653,False,not_significant,,False,False
