case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,2,88.5,False,56.74242424242424,0.010022288584221295,True,higher,worse,False,False
BookInfo,v1,notsummarized,1,2,98.5,False,56.74242424242424,0.053235207915179425,True,higher,worse,False,False
BookInfo,v1,summarized,0,2,100.0,False,56.74242424242424,0.058700888718663455,True,higher,worse,False,False
BookInfo,v1,summarized,1,3,92.0,False,56.74242424242424,0.04782140751574237,True,higher,worse,False,False
BookInfo,v2,notsummarized,0,1,85.0,False,56.74242424242424,,False,not_significant,,True,False
BookInfo,v2,notsummarized,1,3,103.0,False,56.74242424242424,0.008003465522958447,True,higher,worse,False,False
BookInfo,v2,summarized,0,1,94.0,False,56.74242424242424,,False,not_significant,,True,False
BookInfo,v3,notsummarized,0,2,81.5,False,56.74242424242424,0.18726147373537533,True,higher,worse,False,False
BookInfo,v3,notsummarized,1,1,101.0,False,56.74242424242424,,False,not_significant,,True,False
BookInfo,v3,summarized,0,3,84.0,False,56.74242424242424,0.10569612508584937,True,higher,worse,False,False
BookInfo,v3,summarized,1,3,95.0,False,56.74242424242424,0.04603436137032255,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,2,74.5,False,56.74242424242424,0.01792056585212164,True,higher,worse,False,False
JetRacer,v1,notsummarized,1,6,80.16666666666667,False,56.74242424242424,0.016878893256604008,True,higher,worse,False,False
JetRacer,v1,summarized,0,2,78.0,False,56.74242424242424,0.11840706884260707,True,higher,worse,False,False
JetRacer,v1,summarized,1,3,96.66666666666667,False,56.74242424242424,0.03961850033346185,True,higher,worse,False,False
JetRacer,v2,notsummarized,0,1,78.0,False,56.74242424242424,,False,not_significant,,True,False
JetRacer,v2,notsummarized,1,4,89.0,False,56.74242424242424,0.002360109207951988,True,higher,worse,False,False
JetRacer,v2,summarized,0,4,79.5,False,56.74242424242424,0.0006217497350033289,True,higher,worse,False,False
JetRacer,v2,summarized,1,3,79.33333333333333,False,56.74242424242424,0.1301993114919436,True,higher,worse,False,False
JetRacer,v3,notsummarized,0,6,76.5,False,56.74242424242424,5.884870789768761e-06,True,higher,worse,False,False
JetRacer,v3,notsummarized,1,6,79.66666666666667,False,56.74242424242424,0.0019942857126363403,True,higher,worse,False,False
JetRacer,v3,summarized,0,6,80.0,False,56.74242424242424,0.00036051314399534865,True,higher,worse,False,False
JetRacer,v3,summarized,1,4,84.75,False,56.74242424242424,0.03282202307114513,True,higher,worse,False,False
Open Energy Monitor,v1,notsummarized,0,1,54.0,False,56.74242424242424,,False,not_significant,,True,False
Open Energy Monitor,v1,notsummarized,1,2,38.0,False,56.74242424242424,0.13385889574116638,True,lower,better,False,False
Open Energy Monitor,v1,summarized,0,5,55.2,False,56.74242424242424,0.564310523899209,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,1,4,61.75,False,56.74242424242424,0.8075159283430482,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,0,3,53.333333333333336,False,56.74242424242424,0.5641441548812458,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,1,6,43.666666666666664,False,56.74242424242424,0.027882721739429885,True,lower,better,False,False
Open Energy Monitor,v2,summarized,0,4,56.5,False,56.74242424242424,0.8164703812821972,False,not_significant,,False,False
Open Energy Monitor,v2,summarized,1,3,51.0,False,56.74242424242424,0.06403774314640502,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,0,6,52.833333333333336,False,56.74242424242424,0.19306545349211218,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,1,5,44.6,False,56.74242424242424,0.0007066937665219754,True,lower,better,False,False
Open Energy Monitor,v3,summarized,0,8,58.625,False,56.74242424242424,0.46847809223851944,False,not_significant,,False,False
Open Energy Monitor,v3,summarized,1,8,47.875,False,56.74242424242424,0.0068206142073386706,True,lower,better,False,False
Stack4Things,v1,notsummarized,1,1,137.0,False,56.74242424242424,,False,not_significant,,True,False
Stack4Things,v1,summarized,1,1,137.0,False,56.74242424242424,,False,not_significant,,True,False
Stack4Things,v2,notsummarized,1,1,145.0,False,56.74242424242424,,False,not_significant,,True,False
Stack4Things,v3,notsummarized,1,1,142.0,False,56.74242424242424,,False,not_significant,,True,False
WordPress,v1,notsummarized,0,6,20.0,False,56.74242424242424,1.8526206550229287e-06,True,lower,better,False,False
WordPress,v1,summarized,0,5,41.0,False,56.74242424242424,0.017909320570452372,True,lower,better,False,False
