case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
BookInfo,v1,notsummarized,0,2,17.0,False,19.792929292929294,0.5227465582253187,False,not_significant,,False,False
BookInfo,v1,notsummarized,1,2,33.0,False,19.792929292929294,0.1421959644619002,True,higher,worse,False,False
BookInfo,v1,summarized,0,2,41.5,False,19.792929292929294,0.18522097226705794,True,higher,worse,False,False
BookInfo,v1,summarized,1,3,37.0,False,19.792929292929294,0.31267872086258963,False,not_significant,,False,False
BookInfo,v2,notsummarized,0,1,8.0,False,19.792929292929294,,False,not_significant,,True,False
BookInfo,v2,notsummarized,1,3,42.666666666666664,False,19.792929292929294,0.08875845750329349,True,higher,worse,False,False
BookInfo,v2,summarized,0,1,36.0,False,19.792929292929294,,False,not_significant,,True,False
BookInfo,v3,notsummarized,0,2,18.0,False,19.792929292929294,0.32389376938059616,False,not_significant,,False,False
BookInfo,v3,notsummarized,1,1,44.0,False,19.792929292929294,,False,not_significant,,True,False
BookInfo,v3,summarized,0,3,25.666666666666668,False,19.792929292929294,0.6506715601576709,False,not_significant,,False,False
BookInfo,v3,summarized,1,3,42.0,False,19.792929292929294,0.08715673467056693,True,higher,worse,False,False
JetRacer,v1,notsummarized,0,2,11.5,False,19.792929292929294,0.038336878452190394,True,lower,better,False,False
JetRacer,v1,notsummarized,1,6,24.666666666666668,False,19.792929292929294,0.1785927960354012,True,higher,worse,False,False
JetRacer,v1,summarized,0,2,19.0,False,19.792929292929294,0.9371061117624913,False,not_significant,,False,False
JetRacer,v1,summarized,1,3,52.333333333333336,False,19.792929292929294,0.10854345570272188,True,higher,worse,False,False
JetRacer,v2,notsummarized,0,1,9.0,False,19.792929292929294,,False,not_significant,,True,False
JetRacer,v2,notsummarized,1,4,36.25,False,19.792929292929294,0.04655078586595993,True,higher,worse,False,False
JetRacer,v2,summarized,0,4,21.0,False,19.792929292929294,0.6515890603808668,False,not_significant,,False,False
JetRacer,v2,summarized,1,3,46.0,False,19.792929292929294,0.21719719292605305,False,not_significant,,False,False
JetRacer,v3,notsummarized,0,6,11.166666666666666,False,19.792929292929294,0.00011356100921690668,True,lower,better,False,False
JetRacer,v3,notsummarized,1,6,30.0,False,19.792929292929294,0.060168774500786254,True,higher,worse,False,False
JetRacer,v3,summarized,0,6,21.166666666666668,False,19.792929292929294,0.7639400253469543,False,not_significant,,False,False
JetRacer,v3,summarized,1,4,30.5,False,19.792929292929294,0.3040799271260296,False,not_significant,,False,False
Open Energy Monitor,v1,notsummarized,0,1,11.0,False,19.792929292929294,,False,not_significant,,True,False
Open Energy Monitor,v1,notsummarized,1,2,12.0,False,19.792929292929294,0.3018976216393403,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,0,5,21.2,False,19.792929292929294,0.763844821107714,False,not_significant,,False,False
Open Energy Monitor,v1,summarized,1,4,12.5,False,19.792929292929294,0.023570815424011442,True,lower,better,False,False
Open Energy Monitor,v2,notsummarized,0,3,14.333333333333334,False,19.792929292929294,0.5330369915705493,False,not_significant,,False,False
Open Energy Monitor,v2,notsummarized,1,6,9.0,False,19.792929292929294,0.0002651971459372629,True,lower,better,False,False
Open Energy Monitor,v2,summarized,0,4,19.5,False,19.792929292929294,0.9259440075330747,False,not_significant,,False,False
Open Energy Monitor,v2,summarized,1,3,10.666666666666666,False,19.792929292929294,0.03895499445392977,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,0,6,12.333333333333334,False,19.792929292929294,0.017061374598820952,True,lower,better,False,False
Open Energy Monitor,v3,notsummarized,1,5,6.8,False,19.792929292929294,0.001141228014070212,True,lower,better,False,False
Open Energy Monitor,v3,summarized,0,8,20.75,False,19.792929292929294,0.7454103706002798,False,not_significant,,False,False
Open Energy Monitor,v3,summarized,1,8,10.0,False,19.792929292929294,8.467062837027931e-05,True,lower,better,False,False
Stack4Things,v1,notsummarized,1,1,13.0,False,19.792929292929294,,False,not_significant,,True,False
Stack4Things,v1,summarized,1,1,25.0,False,19.792929292929294,,False,not_significant,,True,False
Stack4Things,v2,notsummarized,1,1,19.0,False,19.792929292929294,,False,not_significant,,True,False
Stack4Things,v3,notsummarized,1,1,16.0,False,19.792929292929294,,False,not_significant,,True,False
WordPress,v1,notsummarized,0,6,7.5,False,19.792929292929294,3.117512643615544e-07,True,lower,better,False,False
WordPress,v1,summarized,0,5,23.6,False,19.792929292929294,0.3003580373842455,False,not_significant,,False,False
WordPress,v2,notsummarized,0,5,8.2,False,19.792929292929294,0.0028212961191019037,True,lower,better,False,False
WordPress,v2,summarized,0,6,21.166666666666668,False,19.792929292929294,0.5717750617792032,False,not_significant,,False,False
WordPress,v3,notsummarized,0,7,13.428571428571429,False,19.792929292929294,0.026173679424476827,True,lower,better,False,False
WordPress,v3,summarized,0,9,28.444444444444443,False,19.792929292929294,0.009161414496423596,True,higher,worse,False,False
eWeLink,v1,notsummarized,0,5,9.4,False,19.792929292929294,0.004772900996500673,True,lower,better,False,False
eWeLink,v1,summarized,0,2,9.5,False,19.792929292929294,0.2623847542697873,False,not_significant,,False,False
eWeLink,v2,notsummarized,0,3,9.0,False,19.792929292929294,0.008475639691420293,True,lower,better,False,False
eWeLink,v2,summarized,0,5,20.2,False,19.792929292929294,0.9272450043602409,False,not_significant,,False,False
eWeLink,v3,notsummarized,0,9,11.666666666666666,False,19.792929292929294,0.002243479763790125,True,lower,better,False,False
eWeLink,v3,summarized,0,7,18.142857142857142,False,19.792929292929294,0.4022904570465078,False,not_significant,,False,False
