index,index_type,test_type,factors_or_combination,p_value,significant
graph_edit_distance,continuous,ANOVA_combination,case + RAG,2.1019263521675658e-85,True
graph_edit_distance,continuous,ANOVA_combination,case,3.2565786509869057e-76,True
graph_edit_distance,continuous,ANOVA_main,C(case),3.2565786509871364e-76,True
graph_edit_distance,continuous,ANOVA_combination,case + mode,4.280206519751443e-76,True
graph_edit_distance,continuous,ANOVA_combination,case + version,6.377374353881552e-75,True
graph_edit_distance,continuous,ANOVA_combination,mode,8.522745109426442e-06,True
graph_edit_distance,continuous,ANOVA_main,C(mode),8.522745109427374e-06,True
graph_edit_distance,continuous,ANOVA_combination,mode + RAG,4.747703680623285e-05,True
graph_edit_distance,continuous,ANOVA_combination,version + mode,0.00015868331734369008,True
graph_edit_distance,continuous,ANOVA_combination,RAG,0.521996270805378,False
graph_edit_distance,continuous,ANOVA_main,RAG,0.5219962708053993,False
graph_edit_distance,continuous,ANOVA_combination,version + RAG,0.842513054860772,False
graph_edit_distance,continuous,ANOVA_main,C(version),0.8425778808613634,False
graph_edit_distance,continuous,ANOVA_combination,version,0.8425778808613811,False
validity_edit_distance,continuous,ANOVA_combination,case + mode,4.627642546003754e-17,True
validity_edit_distance,continuous,ANOVA_combination,case + RAG,4.2092520081390783e-16,True
validity_edit_distance,continuous,ANOVA_main,C(case),5.520978230384694e-13,True
validity_edit_distance,continuous,ANOVA_combination,case,5.520978230384694e-13,True
validity_edit_distance,continuous,ANOVA_combination,case + version,5.457761273583244e-12,True
validity_edit_distance,continuous,ANOVA_combination,mode + RAG,7.766875396529328e-10,True
validity_edit_distance,continuous,ANOVA_combination,mode,6.36557426070047e-09,True
validity_edit_distance,continuous,ANOVA_main,C(mode),6.365574260700634e-09,True
validity_edit_distance,continuous,ANOVA_combination,version + mode,1.7851732144520262e-07,True
validity_edit_distance,continuous,ANOVA_main,RAG,0.0002712761863768602,True
validity_edit_distance,continuous,ANOVA_combination,RAG,0.0002712761863768668,True
validity_edit_distance,continuous,ANOVA_combination,version + RAG,0.0027453087486386677,True
validity_edit_distance,continuous,ANOVA_main,C(version),0.758671141889,False
validity_edit_distance,continuous,ANOVA_combination,version,0.7586711418890079,False
