metric,scope_type,scope_value,n,mean,variance,std_dev,coef_variation,std_error,ci95_half_width,reliability
precision,global,global,100,0.7390329999999998,0.045425544859595955,0.21313269308014657,0.28839401363693723,0.021313269308014658,0.04177400784370873,alta
precision,app_id,BookInfo,9,0.8643222222222222,0.021027021944444443,0.14500697205460308,0.1677695751959053,0.04833565735153436,0.09473788840900735,bassa
precision,app_id,JetRacer,24,0.6809333333333333,0.030003624057971013,0.1732155421951824,0.2543795900653746,0.03535747449147718,0.06930065000329527,bassa
precision,app_id,Open Energy Monitor,34,0.7656117647058823,0.04979424773618538,0.22314624741676786,0.29146136162431074,0.038269265711835906,0.07500776079519837,moderata
precision,app_id,Stack4Things,1,0.8837,0.0,0.0,0.0,0.0,,bassa
precision,app_id,WordPress,16,0.6338937499999999,0.07359818862499999,0.2712898608960534,0.42797371151877334,0.06782246522401335,0.13293203183906616,bassa
precision,app_id,eWeLink,16,0.7953250000000001,0.026456012666666664,0.16265304382847148,0.20451141838678713,0.04066326095711787,0.07969999147595103,bassa
recall,global,global,100,0.45383300000000004,0.04777338647575757,0.21857123890337807,0.48161160361493777,0.021857123890337806,0.0428399628250621,alta
recall,app_id,BookInfo,9,0.2365333333333333,0.0254828175,0.1596333846662408,0.6748874774502853,0.05321112822208027,0.10429381131527732,bassa
recall,app_id,JetRacer,24,0.39245,0.019413493043478256,0.1393323115557847,0.3550320080412402,0.02844108899951373,0.05574453443904691,bassa
recall,app_id,Open Energy Monitor,34,0.39076764705882355,0.015332428921568626,0.1238241855275803,0.31687419994864785,0.02123567262440354,0.04162191834383094,moderata
recall,app_id,Stack4Things,1,0.0866,0.0,0.0,0.0,0.0,,bassa
recall,app_id,WordPress,16,0.60255625,0.08765193595833333,0.2960606964092555,0.4913411758806841,0.07401517410231387,0.14506974124053518,bassa
recall,app_id,eWeLink,16,0.6763812499999999,0.021774298958333334,0.1475611702255486,0.21816271551813213,0.03689029255638715,0.07230497341051881,bassa
