scope,case,version,metric,n,mean,std,cv,se,ci_low,ci_high,confidence,reliability
global,,,graph_edit_distance,184,54.80978260869565,28.027927367552326,51.13672420059125,2.0662462190196456,51.3938172425007,58.225747974890595,0.9,"alta (n≥30, buona approssimazione alla normale)"
global,,,validity_edit_distance,184,18.940217391304348,11.841933084908707,62.52268831056534,0.8729988893471676,17.49695572031555,20.383479062293144,0.9,"alta (n≥30, buona approssimazione alla normale)"
group,BookInfo,v1,graph_edit_distance,5,89.8,8.258329128825032,9.19635760448222,3.693237062523878,81.92658443711599,97.673415562884,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v1,validity_edit_distance,5,27.2,16.208022704821214,59.588318767725056,7.248448109768049,11.747419191335512,42.65258080866449,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v2,graph_edit_distance,4,94.75,8.180260794538684,8.633520627481461,4.090130397269342,85.12443667949486,104.37556332050514,0.9,"molto bassa (2≤n<5, stime poco affidabili)"
group,BookInfo,v2,validity_edit_distance,4,29.5,15.758595538097085,53.418967925752824,7.879297769048542,10.957148738405557,48.04285126159444,0.9,"molto bassa (2≤n<5, stime poco affidabili)"
group,BookInfo,v3,graph_edit_distance,9,89.0,13.892443989449804,15.609487628595286,4.630814663149935,80.38877768100754,97.61122231899246,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v3,validity_edit_distance,9,31.444444444444443,15.796448264650436,50.236054551891854,5.265482754883479,21.6530263209905,41.23586256789839,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,JetRacer,v1,graph_edit_distance,9,77.22222222222223,11.300196655122619,14.633348186489723,3.7667322183742065,70.21780271767041,84.22664172677405,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,JetRacer,v1,validity_edit_distance,9,21.0,10.087120500916008,48.03390714721908,3.362373500305336,14.747504956088402,27.252495043911598,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
