case,version,mode,n_total,n_success,p_hat,p_ci_lower,p_ci_upper,p_target_halfwidth,n_required_for_p,sufficient_for_p?,n_success_iter,mean_iterations_success,std_iterations_success,iter_ci_lower,iter_ci_upper,iter_target_halfwidth,n_required_for_iter,sufficient_for_iter?
BookInfo,v1,notsummarized,14,3,0.21428571428571427,0.08484823827372699,0.5333055263583161,0.05,258.7104920059308,False,3.0,12.333333333333334,6.8068592855540455,4.6307884719364525,20.035878194730216,2.0,44.49689800637362,False
BookInfo,v1,summarized,14,5,0.35714285714285715,0.18316614207814164,0.6862323926208027,0.05,352.78703455354207,False,5.0,21.2,8.043631020876083,14.149576102121094,28.250423897878903,2.0,62.13559642472749,False
BookInfo,v2,notsummarized,14,5,0.35714285714285715,0.18316614207814164,0.6862323926208027,0.05,352.78703455354207,False,5.0,19.0,7.314369419163897,12.588790333998805,25.411209666001195,2.0,51.379511726783925,False
BookInfo,v2,summarized,14,3,0.21428571428571427,0.08484823827372699,0.5333055263583161,0.05,258.7104920059308,False,3.0,20.333333333333332,0.5773502691896258,19.680012005153316,20.98665466151335,2.0,0.3201215683911772,True
BookInfo,v3,notsummarized,14,5,0.35714285714285715,0.18316614207814164,0.6862323926208027,0.05,352.78703455354207,False,5.0,14.4,9.044335243676011,6.472436294386788,22.327563705613212,2.0,78.55783288319486,False
BookInfo,v3,summarized,12,8,0.6666666666666666,0.4445186421576813,0.9807988276256389,0.05,341.46300628392225,False,8.0,16.25,5.391792704790177,12.513746935165301,19.9862530648347,2.0,27.919173928973375,False
JetRacer,v1,notsummarized,12,5,0.4166666666666667,0.21992563825168812,0.7743799338691222,0.05,373.47516312303986,False,5.0,13.0,10.124228365658293,4.1258856315557,21.8741143684443,2.0,98.43738228028695,False
JetRacer,v1,summarized,11,8,0.7272727272727273,0.49892364211319873,1.0367062894915036,0.05,304.7768981707735,False,8.0,13.0,8.815570640309435,6.891233467885209,19.108766532114792,2.0,74.63405708777155,False
JetRacer,v2,notsummarized,11,3,0.2727272727272727,0.11194858511711724,0.6497312324954221,0.05,304.7768981707735,False,3.0,9.0,4.0,4.473657063695313,13.526342936304687,2.0,15.365835282776501,False
JetRacer,v2,summarized,11,6,0.5454545454545454,0.32172850978184053,0.9043213762259963,0.05,380.97112271346685,False,6.0,13.666666666666666,7.711463328491336,7.496324277410027,19.837009055923303,2.0,57.109687800985995,False
