scope,case,version,metric,n,mean,std,cv,se,ci_low,ci_high,confidence,reliability
global,,,graph_edit_distance,194,57.81443298969072,30.445850988647823,52.661332844130506,2.185884711335963,53.50314333389116,62.125722645490285,0.95,"alta (n≥30, buona approssimazione alla normale)"
global,,,validity_edit_distance,194,19.695876288659793,12.695120987865113,64.45573074184328,0.9114565687877038,17.898181626930203,21.493570950389383,0.95,"alta (n≥30, buona approssimazione alla normale)"
group,BookInfo,v1,graph_edit_distance,9,94.44444444444444,8.833333333333332,9.352941176470587,2.944444444444444,87.65454337967662,101.23434550921226,0.95,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v1,validity_edit_distance,9,32.44444444444444,14.984250991550354,46.18433524792918,4.994750330516784,20.926529527960362,43.962359360928524,0.95,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v2,graph_edit_distance,5,97.6,9.528903399657276,9.76322069637016,4.261455150532503,85.76830370628407,109.43169629371592,0.95,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v2,validity_edit_distance,5,34.4,17.501428513124292,50.876245677686896,7.826876771739797,12.669106298116692,56.13089370188331,0.95,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,BookInfo,v3,graph_edit_distance,10,90.8,14.28130090557424,15.728304962086167,4.516143881183986,80.58377277069994,101.01622722930006,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,BookInfo,v3,validity_edit_distance,10,33.0,16.152055252780958,48.945621978124116,5.107728349167455,21.4455157290179,44.5544842709821,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v1,graph_edit_distance,13,82.76923076923077,14.618218348769718,17.66141622063256,4.054364293262903,73.93552983094031,91.60293170752124,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v1,validity_edit_distance,13,25.46153846153846,16.05000199696449,63.036261619498,4.451469628565761,15.762619323962332,35.16045759911459,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v2,graph_edit_distance,12,82.5,9.090454534090341,11.018732768594353,2.6241881861565566,76.72420074500442,88.27579925499558,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v2,validity_edit_distance,12,28.833333333333332,15.188711916978667,52.67761358489711,4.384603456955655,19.182886191725537,38.48378047494113,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v3,graph_edit_distance,22,79.81818181818181,8.544763718967717,10.70528484153131,1.8217497459733472,76.02964582482655,83.60671781153708,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,JetRacer,v3,validity_edit_distance,22,22.136363636363637,12.337690817921104,55.734948253442354,2.6304045205548165,16.666137978183613,27.60658929454366,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v1,graph_edit_distance,12,54.416666666666664,21.6688227365466,39.82019492167828,6.255250319983731,40.648953539778354,68.18437979355497,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v1,validity_edit_distance,12,15.416666666666666,7.064100448855123,45.82119210068188,2.0392301478645307,10.928351373223077,19.904981960110256,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v2,graph_edit_distance,16,50.0625,8.812632977720108,17.603261878092603,2.203158244430027,45.36657936111434,54.75842063888566,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v2,validity_edit_distance,16,12.0,6.27162924074226,52.2635770061855,1.567907310185565,8.658084676225837,15.341915323774163,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v3,graph_edit_distance,26,51.5,8.095677859203638,15.719762833405124,1.5876930530707851,48.230084947262135,54.769915052737865,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Open Energy Monitor,v3,validity_edit_distance,26,12.384615384615385,7.678942234849396,62.00388139940506,1.5059644730480333,9.283023493296161,15.486207275934609,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,Stack4Things,v1,graph_edit_distance,3,137.66666666666666,1.1547005383792515,0.8387655242464298,0.6666666666666666,134.79823151353588,140.53510181979743,0.95,"molto bassa (2≤n<5, stime poco affidabili)"
